epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1161.81,1.52233,1.66503,1.22698,0.82201,0.74056,0.81217,0.47438,1.43732,1.15952,1.2122,0.000555111,0.000555111,0.000555111
2,2371.62,1.46234,1.14701,1.19631,0.86376,0.78978,0.86528,0.52507,1.3533,0.9273,1.16941,0.000744221,0.000744221,0.000744221
3,3580.75,1.39695,0.97202,1.15687,0.87264,0.81428,0.882,0.54911,1.29285,0.79235,1.13757,0.000566591,0.000566591,0.000566591
