epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,920.153,1.52233,1.66503,1.22698,0.82201,0.74056,0.81217,0.47438,1.43732,1.15952,1.2122,0.000555111,0.000555111,0.000555111
2,1922.8,1.49311,1.20605,1.21667,0.84743,0.76113,0.83874,0.49089,1.38388,1.04611,1.18764,0.00107412,0.00107412,0.00107412
3,3021.38,1.49192,1.10139,1.21572,0.86009,0.79593,0.86155,0.5031,1.38783,0.92304,1.21169,0.00155646,0.00155646,0.00155646
